"Part";"Value";"Device";"Package";"Description";"MPN";"VALUE";
"C1";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"CC0603KRX7R9BB104";"100nf";
"C2";"100uf";"CERAMIC-100UF-6.3V-20%-X5R(1206)";"C1206";"302010183";"GRM31CR60J107ME39L";"100uf";
"C3";"12pf";"CERAMIC-12PF-50V-5%-NPO(0402)";"C0402";"302010049";"CC0402JRNPO9BN120";"12pf";
"C4";"12pf";"CERAMIC-12PF-50V-5%-NPO(0402)";"C0402";"302010049";"CC0402JRNPO9BN120";"12pf";
"C5";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"CC0603KRX7R9BB104";"100nf";
"C6";"10nf";"CERAMIC-10NF-50V-10%-X7R(0603)";"C0603";"302010140";"CC0603KRX7R9BB103";"10nf";
"C7";"100uf";"CERAMIC-100UF-6.3V-20%-X5R(1206)";"C1206";"302010183";"GRM31CR60J107ME39L";"100uf";
"C8";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"CC0603KRX7R9BB104";"100nf";
"C9";"100uf";"TANTALUM-SMD-100UF-10V(AVX-B)";"AVX-B";"302020015";"TAJB107M010#NJ";"100uf";
"D1";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"B5819W";"20V-1A";
"D2";"WS2812RGB";"SMD-RGB-LED-4P'WS2812B'";"LED4-SMD-5050";"304990003";"";"";
"D3";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"304090044";"19-217-Y5C-AM1N1VY-3T";"YELLOW-0603";
"J1";"MICROSD-9P";"MICRO-SD-CARD-HOLDER-9P";"MICRO-SD9+4P-SMD-16.1X14.5X1.85MM";"320090008";"";"MICROSD-9P";
"J2";"DNP";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J3";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"320110033";"";"4P-2.0";
"J4";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"320110033";"";"4P-2.0";
"J5";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"320110033";"";"4P-2.0";
"J6";"";"CONN_12LOCK";"1X12_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J7";"DNP";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J8";"DNP";"STRIP-14STD";"1X14";"";"";"";
"JP1";"DNP";"MILLER_PINHD-1X8LOCK";"MILLER_1X08-LOCK";"PIN HEADER";"";"";
"Q1";"S8050";"SMD-TRANSISTORS-NPN-25V-500MW-S8050(SOT-23)";"SOT-23";"305010017";"S8050";"S8050";
"Q2";"S8050";"SMD-TRANSISTORS-NPN-25V-500MW-S8050(SOT-23)";"SOT-23";"305010017";"S8050";"S8050";
"R1";"100K 1/16W";"SMD-RES-100K-5%-1/16W(0402)";"R0402";"301010033";"RC0402JR-07100KL";"100K 1/16W";
"R2";"1K";"SMD-RES-1K-5%-1/8W(0805)";"R0805";"301010311";"RC0805JR-071KL";"1K";
"R3";"100K 1/16W";"SMD-RES-100K-5%-1/16W(0402)";"R0402";"301010033";"RC0402JR-07100KL";"100K 1/16W";
"R4";"100K 1/16W";"SMD-RES-100K-5%-1/16W(0402)";"R0402";"301010033";"RC0402JR-07100KL";"100K 1/16W";
"R5";"1K";"SMD-RES-1K-5%-1/8W(0805)";"R0805";"301010311";"RC0805JR-071KL";"1K";
"R6";"1K";"SMD-RES-1K-5%-1/8W(0805)";"R0805";"301010311";"RC0805JR-071KL";"1K";
"R7";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"10K";
"R8";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"10K";
"R9";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"10K";
"R10";"1K";"SMD-RES-1K-5%-1/8W(0805)";"R0805";"301010311";"RC0805JR-071KL";"1K";
